Month,Avrg. Windspeed (knots),Temperature departure from average (°C)
Jun-75,31.22,-0.27
Jul-75,36.02,-0.14
Aug-75,44.55,-0.04
Sep-75,41.87,-0.09
Oct-75,38.17,-0.2
Nov-75,21.29,-0.32
Dec-75,21.67,-0.25
Jun-76,26.25,-0.45
Jul-76,27.32,-0.25
Aug-76,53.22,0.11
Sep-76,43.87,0.17
Oct-76,34.37,0.31
Jun-77,3.50,0.17
Jul-77,13.27,0.04
Aug-77,38.26,-0.07
Sep-77,42.40,-0.04
Oct-77,30.14,0.06
Jun-78,2.67,0.14
Jul-78,29.29,-0.02
Aug-78,30.73,-0.02
Sep-78,41.61,0.03
Oct-78,34.46,0.15
Nov-78,30.25,0.21
Jun-79,25.76,0.55
Jul-79,26.86,0.41
Aug-79,51.74,0.29
Sep-79,47.96,0.19
Oct-79,21.80,0.26
Nov-79,26.36,0.33
Jul-80,21.08,0.43
Aug-80,62.82,0.45
Sep-80,54.90,0.45
Oct-80,54.35,0.33
Nov-80,42.33,0.26
Apr-81,23.67,0.42
May-81,34.09,0.56
Jun-81,22.79,0.39
Jul-81,13.17,0.48
Aug-81,30.68,0.25
Sep-81,54.30,0.28
Oct-81,36.81,0.17
Nov-81,43.00,0.32
Jun-82,36.47,0.2
Jul-82,47.86,0.11
Aug-82,44.70,-0.01
Sep-82,45.00,0.08
Jul-83,28.25,0.36
Aug-83,41.81,0.24
Sep-83,45.95,0.23
Jun-84,13.26,-0.1
Jul-84,26.82,-0.16
Aug-84,30.61,-0.1
Sep-84,41.33,0.06
Oct-84,49.95,-0.08
Nov-84,48.11,-0.18
Dec-84,57.04,-0.13
Jul-85,41.22,0.2
Aug-85,46.33,0.18
Sep-85,49.28,0.09
Oct-85,44.77,0.01
Nov-85,68.95,0
Dec-85,25.00,-0.05
Jun-86,38.92,-0.11
Jul-86,24.52,-0.04
Aug-86,35.69,-0.04
Sep-86,49.08,0.04
Nov-86,53.08,-0.02
May-87,28.83,0.6
Jun-87,15.00,0.87
Aug-87,32.85,0.74
Sep-87,34.47,0.62
Oct-87,43.18,0.62
Nov-87,25.63,0.62
May-88,25.00,0.44
Jun-88,23.57,0.62
Aug-88,27.56,0.27
Sep-88,57.36,0.24
Oct-88,57.62,0.09
Nov-88,47.95,0.05
Jun-89,28.94,-0.01
Jul-89,33.00,0.39
Aug-89,46.17,0.55
Sep-89,67.78,0.24
Oct-89,39.86,0.25
Nov-89,35.50,0.19
Dec-89,36.79,0.38
May-90,25.00,0.35
Jul-90,38.84,0.31
Aug-90,43.41,0.38
Sep-90,44.18,0.59
Oct-90,48.10,0.52
Jun-91,20.00,0.02
Jul-91,29.00,-0.02
Aug-91,37.27,-0.13
Sep-91,45.88,0.13
Oct-91,47.13,0.07
Nov-91,53.33,-0.01
Jun-92,29.00,0.2
Jul-92,26.88,0.24
Aug-92,73.94,0.1
Sep-92,50.79,0.02
Oct-92,44.54,0.05
May-93,25.00,0.26
Jun-93,30.42,0.32
Aug-93,44.81,0.04
Sep-93,48.19,0.05
Jun-94,26.67,-0.04
Jul-94,26.71,-0.03
Aug-94,38.22,-0.04
Sep-94,33.10,-0.09
Nov-94,46.26,0.14
Jun-95,45.14,0.53
Jul-95,41.75,0.67
Aug-95,53.65,0.63
Sep-95,62.66,0.54
Oct-95,51.83,0.46
Nov-95,55.00,0.53
Jun-96,35.23,0.29
Jul-96,57.54,0.21
Aug-96,57.27,0.22
Sep-96,61.20,0.32
Oct-96,52.31,0.12
Nov-96,36.02,-0.01
Jun-97,30.00,0.63
Jul-97,38.06,0.51
Sep-97,63.36,0.52
Oct-97,34.00,0.61
Jul-98,35.28,0.78
Aug-98,61.31,0.94
Sep-98,59.03,0.73
Oct-98,63.21,0.63
Nov-98,44.32,0.54
Dec-98,59.29,0.43
Jun-99,39.04,0.28
Jul-99,28.75,0.29
Aug-99,61.05,0.53
Sep-99,65.97,0.64
Oct-99,49.42,0.38
Nov-99,61.07,0.34
Jun-00,28.13,0.07
Aug-00,54.47,0.26
Sep-00,50.27,0.26
Oct-00,50.37,0.28
Jun-01,26.23,0.23
Jul-01,25.00,0.38
Aug-01,37.76,0.42
Sep-01,54.33,0.51
Oct-01,47.83,0.52
Nov-01,65.94,0.59
Dec-01,33.13,0.72
Jul-02,40.75,0.13
Aug-02,31.09,0.34
Sep-02,43.49,0.36
Oct-02,46.39,0.48
Apr-03,38.46,0.35
Jun-03,34.06,0.34
Jul-03,37.61,0.46
Aug-03,51.28,0.72
Sep-03,68.86,0.77
Oct-03,45.22,0.87
Nov-03,30.00,0.71
Dec-03,42.50,0.66
Jul-04,25.00,0.59
Aug-04,51.78,0.71
Sep-04,66.43,0.73
Oct-04,43.26,0.81
Nov-04,37.25,0.71
Dec-04,29.47,0.76
Jun-05,35.30,1.18
Jul-05,51.24,1.12
Aug-05,46.75,0.98
Sep-05,55.42,1.04
Oct-05,59.88,0.72
Nov-05,39.57,0.62
Dec-05,53.98,0.69
Jan-06,41.96,0.67
Jun-06,40.26,0.65
Jul-06,36.77,0.57
Aug-06,37.04,0.65
Sep-06,56.79,0.8
Oct-06,60.91,0.83
May-07,25.00,0.49
Jun-07,36.00,0.49
Jul-07,38.75,0.49
Aug-07,62.80,0.31
Sep-07,43.92,0.38
Oct-07,30.13,0.4
Nov-07,61.09,0.39
Dec-07,34.00,0.36
May-08,37.00,0.37
Jun-08,31.00,0.53
Jul-08,55.77,0.59
Aug-08,46.42,0.68
Sep-08,57.04,0.81
Oct-08,42.17,0.7
Nov-08,44.17,0.5
May-09,26.33,0.08
Aug-09,54.73,0.57
Sep-09,40.44,0.63
Oct-09,35.00,0.76
Nov-09,52.10,0.69
Jun-10,48.65,1.33
Jul-10,33.92,1.22
Aug-10,48.17,1.11
Sep-10,52.13,0.95
Oct-10,48.36,0.82
Nov-10,48.78,0.75
Jun-11,42.92,0.91
Jul-11,37.98,0.74
Aug-11,44.56,0.78
Sep-11,49.84,0.64
Oct-11,60.88,0.63
Nov-11,45.36,0.54
May-12,37.19,0.38
Jun-12,40.46,0.58
Aug-12,43.70,0.67
Sep-12,55.86,0.88
Oct-12,48.65,0.86
Jun-13,35.14,0.57
Jul-13,35.60,0.65
Aug-13,31.46,0.63
Sep-13,39.04,0.77
Oct-13,36.79,0.85
Nov-13,45.19,0.6
Jun-14,23.33,0.4
Jul-14,41.44,0.48
Aug-14,51.45,0.54
Sep-14,49.17,0.73
Oct-14,54.22,0.87
May-15,35.54,0.36
Jun-15,27.05,0.26
Jul-15,34.00,0.39
Aug-15,50.55,0.76
Sep-15,33.86,0.95
Oct-15,64.66,1.13
Nov-15,53.00,0.87
Jan-16,55.12,0.91
May-16,29.50,0.83
