# Title: Atlantic MDR Average Temperature Departures,
# Units: Degrees Celsius,
# Base Period: 1910-2000,
Date,Departure from Average
197501,-0.13
197502,-0.19
197503,-0.31
197504,-0.2
197505,-0.42
197506,-0.27
197507,-0.14
197508,-0.04
197509,-0.09
197510,-0.2
197511,-0.32
197512,-0.25
197601,-0.24
197602,-0.3
197603,-0.52
197604,-0.38
197605,-0.5
197606,-0.45
197607,-0.25
197608,0.11
197609,0.17
197610,0.31
197611,0.2
197612,0
197701,0.1
197702,0.07
197703,0.15
197704,0.1
197705,-0.01
197706,0.17
197707,0.04
197708,-0.07
197709,-0.04
197710,0.06
197711,0.03
197712,0.07
197801,0.33
197802,0.47
197803,0.47
197804,0.48
197805,0.33
197806,0.14
197807,-0.02
197808,-0.02
197809,0.03
197810,0.15
197811,0.21
197812,0.09
197901,0.27
197902,0.44
197903,0.38
197904,0.43
197905,0.52
197906,0.55
197907,0.41
197908,0.29
197909,0.19
197910,0.26
197911,0.33
197912,0.36
198001,0.53
198002,0.45
198003,0.44
198004,0.59
198005,0.83
198006,0.68
198007,0.43
198008,0.45
198009,0.45
198010,0.33
198011,0.26
198012,0.22
198101,0.45
198102,0.41
198103,0.78
198104,0.42
198105,0.56
198106,0.39
198107,0.48
198108,0.25
198109,0.28
198110,0.17
198111,0.32
198112,0.41
198201,0.35
198202,0.24
198203,0.22
198204,0.11
198205,0.21
198206,0.2
198207,0.11
198208,-0.01
198209,0.08
198210,-0.09
198211,-0.18
198212,-0.15
198301,0.09
198302,0.35
198303,0.73
198304,0.73
198305,0.54
198306,0.58
198307,0.36
198308,0.24
198309,0.23
198310,0.03
198311,0.22
198312,0.38
198401,0.26
198402,0.22
198403,0.08
198404,-0.01
198405,-0.02
198406,-0.1
198407,-0.16
198408,-0.1
198409,0.06
198410,-0.08
198411,-0.18
198412,-0.13
198501,-0.13
198502,-0.11
198503,-0.34
198504,-0.32
198505,-0.28
198506,0.06
198507,0.2
198508,0.18
198509,0.09
198510,0.01
198511,0
198512,-0.05
198601,-0.19
198602,-0.18
198603,-0.18
198604,-0.2
198605,-0.13
198606,-0.11
198607,-0.04
198608,-0.04
198609,0.04
198610,-0.03
198611,-0.02
198612,-0.22
198701,0.11
198702,0.16
198703,0.52
198704,0.58
198705,0.6
198706,0.87
198707,0.63
198708,0.74
198709,0.62
198710,0.62
198711,0.62
198712,0.8
198801,0.44
198802,0.33
198803,0.43
198804,0.54
198805,0.44
198806,0.62
198807,0.67
198808,0.27
198809,0.24
198810,0.09
198811,0.05
198812,0.02
198901,-0.05
198902,-0.13
198903,-0.29
198904,-0.32
198905,-0.31
198906,-0.01
198907,0.39
198908,0.55
198909,0.24
198910,0.25
198911,0.19
198912,0.38
199001,0.19
199002,0.24
199003,0.22
199004,0.36
199005,0.35
199006,0.19
199007,0.31
199008,0.38
199009,0.59
199010,0.52
199011,0.42
199012,0.26
199101,0.23
199102,0.18
199103,0.04
199104,0
199105,-0.08
199106,0.02
199107,-0.02
199108,-0.13
199109,0.13
199110,0.07
199111,-0.01
199112,0
199201,0.15
199202,0.16
199203,0.23
199204,0.2
199205,0.1
199206,0.2
199207,0.24
199208,0.1
199209,0.02
199210,0.05
199211,0.06
199212,0.07
199301,0.2
199302,0.08
199303,0.1
199304,0.21
199305,0.26
199306,0.32
199307,0.06
199308,0.04
199309,0.05
199310,0.05
199311,0.01
199312,-0.02
199401,-0.15
199402,-0.11
199403,-0.09
199404,-0.03
199405,-0.11
199406,-0.04
199407,-0.03
199408,-0.04
199409,-0.09
199410,0.01
199411,0.14
199412,0.11
199501,0.26
199502,0.18
199503,0.27
199504,0.44
199505,0.62
199506,0.53
199507,0.67
199508,0.63
199509,0.54
199510,0.46
199511,0.53
199512,0.53
199601,0.7
199602,0.64
199603,0.46
199604,0.5
199605,0.33
199606,0.29
199607,0.21
199608,0.22
199609,0.32
199610,0.12
199611,-0.01
199612,0.1
199701,0.43
199702,0.45
199703,0.29
199704,0.47
199705,0.54
199706,0.63
199707,0.51
199708,0.41
199709,0.52
199710,0.61
199711,0.58
199712,0.61
199801,0.56
199802,0.85
199803,0.78
199804,0.79
199805,0.79
199806,0.86
199807,0.78
199808,0.94
199809,0.73
199810,0.63
199811,0.54
199812,0.43
199901,0.11
199902,0.1
199903,0.12
199904,0.13
199905,0.33
199906,0.28
199907,0.29
199908,0.53
199909,0.64
199910,0.38
199911,0.34
199912,0.38
200001,0.06
200002,0.03
200003,0.13
200004,0.14
200005,0.13
200006,0.07
200007,0.24
200008,0.26
200009,0.26
200010,0.28
200011,0.15
200012,0.07
200101,0.14
200102,0.18
200103,0.29
200104,0.18
200105,0.22
200106,0.23
200107,0.38
200108,0.42
200109,0.51
200110,0.52
200111,0.59
200112,0.72
200201,0.87
200202,0.67
200203,0.56
200204,0.28
200205,0.09
200206,0.13
200207,0.13
200208,0.34
200209,0.36
200210,0.48
200211,0.4
200212,0.31
200301,0.46
200302,0.4
200303,0.44
200304,0.35
200305,0.3
200306,0.34
200307,0.46
200308,0.72
200309,0.77
200310,0.87
200311,0.71
200312,0.66
200401,0.68
200402,0.76
200403,0.55
200404,0.66
200405,0.35
200406,0.4
200407,0.59
200408,0.71
200409,0.73
200410,0.81
200411,0.71
200412,0.76
200501,0.69
200502,0.55
200503,0.99
200504,1.15
200505,1.2
200506,1.18
200507,1.12
200508,0.98
200509,1.04
200510,0.72
200511,0.62
200512,0.69
200601,0.67
200602,0.44
200603,0.36
200604,0.59
200605,0.64
200606,0.65
200607,0.57
200608,0.65
200609,0.8
200610,0.83
200611,0.8
200612,0.6
200701,0.71
200702,0.81
200703,0.66
200704,0.65
200705,0.49
200706,0.49
200707,0.49
200708,0.31
200709,0.38
200710,0.4
200711,0.39
200712,0.36
200801,0.38
200802,0.39
200803,0.35
200804,0.27
200805,0.37
200806,0.53
200807,0.59
200808,0.68
200809,0.81
200810,0.7
200811,0.5
200812,0.42
200901,0.32
200902,0
200903,-0.08
200904,0.09
200905,0.08
200906,0.31
200907,0.58
200908,0.57
200909,0.63
200910,0.76
200911,0.69
200912,0.79
201001,0.94
201002,1.22
201003,1.48
201004,1.5
201005,1.45
201006,1.33
201007,1.22
201008,1.11
201009,0.95
201010,0.82
201011,0.75
201012,0.72
201101,0.84
201102,0.72
201103,0.56
201104,0.64
201105,0.63
201106,0.91
201107,0.74
201108,0.78
201109,0.64
201110,0.63
201111,0.54
201112,0.48
201201,0.41
201202,0.28
201203,0.14
201204,0.26
201205,0.38
201206,0.58
201207,0.6
201208,0.67
201209,0.88
201210,0.86
201211,0.83
201212,0.81
201301,0.64
201302,0.56
201303,0.86
201304,0.77
201305,0.81
201306,0.57
201307,0.65
201308,0.63
201309,0.77
201310,0.85
201311,0.6
201312,0.6
201401,0.48
201402,0.31
201403,0.22
201404,0.25
201405,0.3
201406,0.4
201407,0.48
201408,0.54
201409,0.73
201410,0.87
201411,0.59
201412,0.61
201501,0.55
201502,0.52
201503,0.33
201504,0.26
201505,0.36
201506,0.26
201507,0.39
201508,0.76
201509,0.95
201510,1.13
201511,0.87
201512,0.8
201601,0.91
201602,0.84
201603,0.87
201604,0.88
201605,0.83
201606,0.77
201607,0.85
201608,0.88
201609,0.87
201610,0.79
201611,0.81
201612,0.83
201701,0.76
201702,0.68
201703,0.58
201704,0.84
201705,0.98
201706,0.9
201707,1.01
201708,0.99
201709,1.01
201710,0.78
201711,0.85
201712,0.89
201801,0.68
201802,0.34
201803,0.41
201804,0.29
201805,0.08
201806,0.04
201807,0.2
201808,0.39
201809,0.46
201810,0.54
201811,0.52
201812,0.45
201901,0.56
201902,0.58
201903,0.46
201904,0.42
201905,0.46
201906,0.67
201907,0.7
201908,0.85
201909,1.01
201910,0.9
201911,0.71
201912,0.74
202001,0.71
202002,0.82
202003,0.82
202004,0.99
202005,0.85
202006,1.03
202007,1.04
202008,0.99
202009,0.94
202010,0.87
202011,0.67
202012,0.72
202101,0.78
202102,0.73
202103,0.55
202104,0.68
202105,0.57
202106,0.57
202107,0.58
202108,0.69
202109,0.87
202110,0.74
202111,0.81
202112,0.7
202201,0.81
202202,0.88
202203,0.57
202204,0.48
202205,0.67
202206,0.67
202207,0.65
202208,0.8
202209,0.91
202210,0.86
202211,0.6
202212,0.57
202301,0.6
202302,0.65
202303,0.83
202304,1
202305,1.23
202306,1.62
202307,1.66
202308,1.6
202309,1.7
202310,1.65
202311,1.37
202312,1.4
202401,1.54
202402,1.64
202403,1.67
202404,1.65
202405,1.66
202406,1.63
202407,1.48
202408,1.43
202409,1.42
202410,1.42
202411,1.25
202412,1.22
