Year,Month,Max of wind
1975,6,60
1975,7,75
1975,8,100
1975,9,110
1975,10,120
1975,11,30
1975,12,25
1976,6,30
1976,7,40
1976,8,105
1976,9,100
1976,10,90
1977,6,25
1977,7,30
1977,8,80
1977,9,150
1977,10,70
1978,6,25
1978,7,45
1978,8,80
1978,9,120
1978,10,70
1978,11,45
1979,6,50
1979,7,65
1979,8,150
1979,9,130
1979,10,30
1979,11,30
1980,7,30
1980,8,165
1980,9,100
1980,10,90
1980,11,85
1981,4,30
1981,5,50
1981,6,60
1981,7,50
1981,8,70
1981,9,115
1981,10,65
1981,11,75
1982,6,75
1982,8,60
1982,9,115
1982,10,60
1983,7,30
1983,8,100
1983,9,65
1984,6,30
1984,7,30
1984,8,45
1984,9,115
1984,10,90
1984,11,80
1984,12,70
1984,,125
1985,7,65
1985,8,90
1985,9,125
1985,10,75
1985,11,105
1985,12,30
1985,,90
1986,6,75
1986,7,30
1986,8,70
1986,9,90
1986,11,75
1986,,110
1987,5,30
1987,6,15
1987,8,65
1987,9,110
1987,10,65
1987,11,30
1987,,160
1988,5,25
1988,6,25
1988,8,45
1988,9,160
1988,10,125
1988,11,65
1988,,140
1989,6,45
1989,7,55
1989,8,90
1989,9,140
1989,10,75
1989,11,50
1989,12,45
1990,5,25
1990,7,70
1990,8,105
1990,9,95
1990,10,75
1991,6,20
1991,7,45
1991,8,100
1991,9,115
1991,10,90
1991,11,65
1992,6,30
1992,7,30
1992,8,150
1992,9,95
1992,10,75
1993,5,25
1993,6,35
1993,8,100
1993,9,100
1994,6,30
1994,7,55
1994,8,70
1994,9,60
1994,11,95
1995,6,65
1995,7,60
1995,8,120
1995,9,130
1995,10,130
1995,11,70
1996,6,45
1996,7,100
1996,8,125
1996,9,120
1996,10,100
1996,11,65
1997,6,30
1997,7,70
1997,9,110
1997,10,40
1998,7,45
1998,8,100
1998,9,135
1998,10,155
1998,11,70
1998,12,75
1999,6,50
1999,7,30
1999,8,125
1999,9,135
1999,10,95
1999,11,135
2000,6,30
2000,8,110
2000,9,120
2000,10,120
2001,6,50
2001,7,25
2001,8,60
2001,9,105
2001,10,125
2001,11,120
2001,12,40
2002,7,50
2002,8,50
2002,9,110
2002,10,125
2003,4,50
2003,6,50
2003,7,80
2003,8,115
2003,9,145
2003,10,110
2003,11,30
2003,12,60
2004,7,25
2004,8,130
2004,9,145
2004,10,65
2004,11,45
2004,12,40
2005,6,60
2005,7,140
2005,8,150
2005,9,155
2005,10,160
2005,11,60
2005,12,75
2006,1,55
2006,6,60
2006,7,50
2006,8,65
2006,9,105
2006,10,75
2007,5,25
2007,6,50
2007,7,45
2007,8,150
2007,9,150
2007,10,50
2007,11,75
2007,12,50
2008,5,40
2008,6,35
2008,7,110
2008,8,135
2008,9,125
2008,10,115
2008,11,125
2009,5,30
2009,8,115
2009,9,105
2009,10,55
2009,11,90
2010,6,80
2010,7,95
2010,8,115
2010,9,135
2010,10,90
2010,11,75
2011,6,55
2011,7,60
2011,8,105
2011,9,120
2011,10,120
2011,11,55
2012,5,60
2012,6,75
2012,8,95
2012,9,100
2012,10,100
2013,6,55
2013,7,55
2013,8,50
2013,9,80
2013,10,55
2013,11,55
2014,6,30
2014,7,85
2014,8,75
2014,9,105
2014,10,125
2015,5,50
2015,6,50
2015,7,45
2015,8,110
2015,9,80
2015,10,135
2015,11,75
2016,1,75
2016,5,40
2016,6,50
2016,8,105
2016,9,120
2016,10,145
2016,11,100
2017,4,55
2017,6,50
2017,7,50
2017,8,115
2017,9,155
2017,10,100
2017,11,50
2018,5,55
2018,7,90
2018,8,45
2018,9,130
2018,10,140
2018,11,75
2019,7,65
2019,8,130
2019,9,160
2019,10,90
2019,11,60
2020,5,55
2020,6,50
2020,7,80
2020,8,130
2020,9,120
2020,10,120
2020,11,135
2021,5,50
2021,6,55
2021,7,75
2021,8,130
2021,9,135
2021,10,130
2021,11,45
2022,6,60
2022,7,100
2022,8,25
2022,9,140
2022,10,75
2022,11,80
2023,5,20
2023,6,60
2023,7,65
2023,8,130
2023,9,145
2023,10,95
2024,6,115
2024,7,145
2024,8,85
2024,9,120
2024,10,155
2024,11,105
