"catalog_number","pollinator_family","pollinator_genus","pollinator_species","pollinator_sex","plant_sp_code","plant_species","collection_method","pantrap_colour","collector_number","day_collected","month_collected","year_collected","time_of_day_collected","location_description","location_name","habitat","latitude","longitude","basis_of_record","location_specimen","study_director","study"
"SFU705915","Tachinidae","Tachinidae",NA,"F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705916","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705917","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705918","Sarcophagidae","Sarcophagidae",NA,"F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705919","Halictidae","Lasioglossum","incompletum","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705920","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705921","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705922","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705923","Megachilidae","Osmia","lignaria","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705924","Apidae","Apis","mellifera","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705925","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, blue","blue",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705926","Tachinidae","Tachinidae",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705927","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
